PARKID,PARKNAME,OWNER,ORIG_FID
N79,Indian Creek Stream Valley Park,M-NCPPC,3
N36,College Park Woods Park,M-NCPPC,6
N10,Berwyn Park,M-NCPPC,11
N/A,James Adams Park,MUNI,24
N62,Acredale Park,M-NCPPC,25
S64,College Park Community Center,M-NCPPC,26
N77,Hollywood Park,M-NCPPC,28
N64,Paint Branch Parkway Park,M-NCPPC,29
N32,Cherry Hill Park,M-NCPPC,34
N31,Calvert Park,M-NCPPC,37
N92,Paint Branch Golf Complex,M-NCPPC,42
S85,Lake Artemesia Park,M-NCPPC,44
S60,Lakeland Park,MUNI/M-NCPPC,45
S36,Northgate Urban Park,M-NCPPC,46
M19,Sunnyside Park,M-NCPPC,47
,Hollywood Gateway Park,MUNI,48
